stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
3377704015496164,MNLP_**_27SAR|SACHR,Saulzet Le Chaud,45.7141,3.07029,0,1970329131942348
3377704015496171,MNLP_**_13ETA|SAETA,"Sable d'Étampes",45.7678,3.0645,0,1970329131942262
3377704015496165,MNLP_**_04SCA|SACOA,Salins Coubertin,45.7697,3.083,0,1970329131942036
3377704015496161,MNLP_**_05SQR|MNLP_**_10SBA|SABOA,Square Sabourin,45.7945,3.05274,0,1970329131942037
3377704015496162,MNLP_**_04SQA|MNLP_**_04SQR|MNLP_**_05SQA|MNLP_**_10SBR|SABOR,Square Sabourin,45.7946,3.05277,0,1970329131942037
3377704015496163,MNLP_**_27SAA|SACHA,Saulzet Le Chaud,45.7133,3.07151,0,1970329131942348
3377704015496166,MNLP_**_04SCR|SACOR,Salins Coubertin,45.7697,3.08313,0,1970329131942036
3377704015496167,MNLP_**_13SCA|SACRA,Sacré Coeur,45.7719,3.09892,0,1970329131942263
3377704015496168,MNLP_**_13SCR|SACRR,Sacré Coeur,45.7719,3.0989,0,1970329131942263
3377704015496174,MNLP_**_08SPR|MNLP_**_13SPR|SAPAR,Salins Pasteur,45.7716,3.08192,0,1970329131942162
3377704015496175,MNLP_**_03SAA|MNLP_**_20SDR|MNLP_**_21SAA|SARDA,Sardou,45.8078,3.12274,0,1970329131941978
3377704015496178,MNLP_**_28LSA|MNLP_**_C_LSR|SARRR,La Sarre,45.7694,3.11538,0,1970329131942109
3377704015496172,MNLP_**_13ETR|SAETR,"Sable d'Étampes",45.7677,3.06455,0,1970329131942262
3377704015496173,MNLP_**_08SPA|MNLP_**_13SPA|MNLP_**_50SPA|MNLP_**_D5SPA|SAPAA,Salins Pasteur,45.7716,3.08249,0,1970329131942162
3377704015496176,MNLP_**_03SAR|MNLP_**_20SDA|MNLP_**_21SAR|SARDR,Sardou,45.8077,3.12211,0,1970329131941978
3377704015496177,MNLP_**_28LSR|MNLP_**_C_LSA|SARRA,La Sarre,45.7696,3.11491,0,1970329131942109
3377704015496180,MNLP_**_34SAA|SAUNA,La Saunière,45.7173,3.18818,0,1970329131942382
3377704015496181,MNLP_**_34SAR|SAUNR,La Saunière,45.7173,3.18818,0,1970329131942382
3377704015496182,MNLP_**_12SZA|SAUTA,Sauzettes,45.751,3.12421,0,1970329131941979
3377704015496183,MNLP_**_03SZA|MNLP_**_03SZR|MNLP_**_12SZR|SAUTR,Sauzettes,45.7508,3.12329,0,1970329131941979
3377704015496184,MNLP_**_05SAR|MNLP_**_10SVA|SAVAA,Savarounes,45.7793,3.06239,0,1970329131942128
3377704015496189,MNLP_**_27SER|SERVR,La Serve,45.7274,3.09175,0,1970329131942334
3377704015496185,MNLP_**_05SAA|MNLP_**_10SVR|SAVAR,Savarounes,45.779,3.06237,0,1970329131942128
3377704015496186,MNLP_**_03SVA|MNLP_**_12SVR|MNLP_**_27SVA|SAVEA,St Verny,45.7395,3.10621,0,1970329131941984
3377704015496193,MNLP_**_A_SJR|SJDOR,St Jacques Dolet,45.7649,3.08904,0,1970329131942443
3377704015496194,MNLP_**_A_LOA|SJLOA,St Jacques Loucheur,45.7612,3.09471,0,1970329131941982
3377704015496187,MNLP_**_03SVR|MNLP_**_12SVA|MNLP_**_27SVR|SAVER,St Verny,45.7398,3.10644,0,1970329131941984
3377704015496188,MNLP_**_27SEA|SERVA,La Serve,45.7275,3.0917,0,1970329131942334
3377704015496207,MNLP_**_03SJA|MNLP_**_08SJR|STJAR,St Jacques,45.7572,3.09667,0,1970329131941981
3377704015496208,MNLP_**_03SMR|MNLP_**_12SMA|STMAA,St Martin,45.7502,3.12169,0,1970329131941983
3377704015496192,MNLP_**_A_SJA|SJDOA,St Jacques Dolet,45.7648,3.08899,0,1970329131942443
3377704015496195,MNLP_**_03LOR|MNLP_**_08LOA|MNLP_**_A1LOR|SJLOB,St Jacques Loucheur,45.7614,3.09451,0,1970329131941982
3377704015496196,MNLP_**_A_LOR|SJLOR,St Jacques Loucheur,45.7613,3.09458,0,1970329131941982
3377704015496199,MNLP_**_13SGR|SOGRR,Sounely Gravins,45.7396,3.14039,0,1970329131942264
3377704015496200,MNLP_**_09SOA|SOULA,Soulet,45.7763,3.10824,0,1970329131942189
3377704015496197,MNLP_**_03LOA|MNLP_**_08LOR|MNLP_**_50LOA|MNLP_**_A1LOA|SJLOS,St Jacques Loucheur,45.7612,3.09474,0,1970329131941982
3377704015496198,MNLP_**_13SGA|SOGRA,Sounely Gravins,45.7396,3.14036,0,1970329131942264
